The woman was admitted to the hospital on Saturday after complaining of severe joint pains.	severe joint pains	complaining of
island's-19	"strong-20	-pobj-prep-nsubj
The president has called for a peaceful resolution of the lingering sovereignty dispute between Taipei and Beijing which split at the end of a civil war in 1949.	a peaceful resolution of the lingering sovereignty dispute between Taipei and Beijing	called for
resolution-8	for-5	-pobj
Compounding fears is speculation that Bush may sign a fresh communique with China in return for Beijing's support on issues such as anti-terrorism and prevention of nuclear proliferation.	speculation that Bush may sign a fresh communique with China in return for Beijing's support on issues such as anti-terrorism and prevention of nuclear proliferation	fears
speculation-4	fears-2	-nsubj
Compounding fears is speculation that Bush may sign a fresh communique with China in return for Beijing's support on issues such as anti-terrorism and prevention of nuclear proliferation.	issues such as anti-terrorism and prevention of nuclear proliferation	support on
issues-20	on-19	-pobj
Washington had guaranteed Taipei that it would not dilute its backing for the island in return for better relations with Beijing, Taiwan's foreign ministry spokeswoman Chang Siao-yueh told AFP.	the island	backing for
island-14	for-12	-pobj
Washington alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran, which Iranian officials have hotly denied but said they would act if provided with evidence.	Washington alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran	have hotly denied
Iran,-17	denied-23	-rcmod
A diplomatic source said the affair could become "embarrassing" for European countries, "because of the insistence of the Americans on judging for themselves" those who supported al-Qaeda.	al-Qaeda	supported
al-Qaeda.-27	supported-26	-dobj
German Foreign Minister Joschka Fischer last week sharply criticised Bush's "axis of evil" remarks, telling a newspaper that such a concept "gets us nowhere."	Bush's "axis of evil" remarks	sharply criticised
"axis-11	criticised-9	-dobj
"People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations," Bush said.	we	understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations
we-7	cannot-8	-nsubj
"People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations," Bush said.	freedom	love
freedom-4	love-3	-nn
Chancellor Gerhard Schroeder had pledged "undivided support" for the fight against terrorism a week after the September 11 attacks on the World Trade Center and the Pentagon, saying, "Germany is ready for risks, including military ones, but not for adventures."	the fight against terrorism	undivided support" for
fight-10	for-8	-pobj
Asked about French Foreign Minister Hubert Vedrine's criticism of the "axis" concept as "simplistic," Bush said: "I understand what happens in the international arena; people say things.	the "axis" concept	criticism of the "axis" concept as "simplistic
concept-12	of-9	-pobj
"They are seeking unilaterally to become the masters of the world and want to sweep aside all competitors from other countries."	become the masters of the world	are seeking unilaterally to
become-6	seeking-3	-xcomp
"We want to resolve all issues peacefully, whether it be Iraq, Iran or North Korea," Bush said, speaking next to Japanese Prime Minister Junichiro Koizumi.	resolve all issues peacefully	want to
resolve-4	want-2	-xcomp
Iran, which has long had tense relations with its western neighbor, voiced opposition to a new US strike against Iraq.	a new US strike against Iraq	voiced opposition to
against-19	voiced-12	-prep
Iran, which has long had tense relations with its western neighbor, voiced opposition to a new US strike against Iraq.	its western neighbor	has long had tense relations with
neighbor,-11	with-8	-pobj
But his tough stand on P'yongyang has provoked concern in Seoul, where President Kim Tae-chung, who is in the last year of his five-year term, has been trying to prise the hermit state out of isolation.	his tough stand on P'yongyang	has provoked concern
P'yongyang-6	provoked-8	-rcmod
"We also hope that Iraq gives a favourable response and allows UN weapon inspectors" to return to the country, he added.	Iraq gives a favourable response and allows UN weapon inspectors" to return to the country	hope
gives-6	hope-3	-ccomp
The president renewed his pledge to thwart terrorist groups who want to "mate up" with regimes hoping to acquire weapons of mass destruction and said "nations will come with us" if the US-led war on terrorism is extended.	acquire weapons of mass destruction	hoping to
acquire-19	hoping-17	-xcomp
The president renewed his pledge to thwart terrorist groups who want to "mate up" with regimes hoping to acquire weapons of mass destruction and said "nations will come with us" if the US-led war on terrorism is extended.	mate up" with regimes hoping to acquire weapons of mass destruction	want to
"mate-13	want-11	-xcomp
Bush has lumped those three countries together in what terms an "axis of evil," in language that has riled US allies.	language	has riled
language-16	riled-19	-rcmod
Angry anti-US protests erupted in Seoul ahead of Bush's arrival with police storming the American Chamber of Commerce and detaining 32 students occupying the building.	US	Angry anti-US protests erupted
anti-US-2	protests-3	-amod
TOKYO, Feb 18 (AFP) -- US President George W. Bush said Monday that all options were on the table to deal with Iraq, Iran and North Korea, even as Germany warned against any "adventure" in Iraq.	any "adventure" in Iraq	warned against
in-35	warned-31	-prep
At the start of his Asian tour, Bush dismissed a chilly reception by US allies to his "axis of evil" rhetoric, telling reporters in Tokyo, "I will keep all options on the table.	his "axis of evil" rhetoric	a chilly reception by US allies to
